0,1,2
59659,[59659],36
59663,"[59663, 60054, 60059, 216142]",73
66707,"[66707, 66708, 66709, 66711, 229790, 231802, 279473]",154
66723,"[66723, 114098]",43
68883,[68883],20
132026,"[66710, 66721, 132026, 273949, 279471, 279472, 279474]",79
135332,"[135332, 189043]",16
135334,"[135334, 140427, 189410, 190849, 280522]",43
193635,"[78167, 153346, 193635, 200451, 231801, 261559, 273948]",159
216141,"[1180, 216141]",18
108851,[108851],12
133089,"[133089, 280246]",127
133094,[133094],68
133122,"[133122, 138395, 138898]",271
133161,[133161],95
133197,[133197],31
135259,"[135259, 135271, 135489, 146168, 189272, 237746, 279717, 279723, 288551]",141
135292,"[135292, 279725, 279871]",187
138516,"[138516, 138784, 280643]",34
138577,"[138577, 138928, 141381]",70
138579,"[138579, 140533]",16
138713,[138713],101
139082,"[139082, 139084, 139085, 139141, 139165, 139166, 139209, 139270, 139383, 190090]",1268
139083,"[139083, 139086, 139087, 139088, 139167, 139272]",652
154898,"[57582, 62828, 154898]",25
205048,"[205048, 205049, 205053, 222899]",24
212610,"[212610, 262780]",28
212612,"[212612, 289225]",42
238236,[238236],79
238237,[238237],14
238239,"[238238, 238239]",472
238248,"[238248, 238411, 280739]",681
238249,"[238249, 280608, 280696]",298
238250,"[238250, 238279, 280518]",488
238251,"[238235, 238251]",117
238252,"[238240, 238252]",177
238254,"[238254, 280607]",158
238488,[238488],11
262779,"[258220, 262779]",25
279570,"[279570, 280198, 280263, 280295]",1286
279571,"[279571, 280262, 280289]",436
279572,"[279572, 280119, 280125, 280196]",4413
279573,"[279573, 280117, 280197, 280294]",2639
279574,"[279574, 280066, 280163, 280291]",2390
279575,"[279575, 280261, 280288, 280610]",237
279576,"[279576, 280113, 280218]",1340
279577,[279577],822
279578,[279578],168
279579,"[279579, 280165]",3138
279580,[279580],1451
280065,[280065],853
280118,"[280118, 280164]",133
280122,[280122],484
280123,[280123],202
280162,"[280124, 280162, 280296]",236
288711,[288711],13
78,"[78, 18456, 18502]",466
176,"[176, 154868, 1204, 35838, 54628, 268705]",345
