0,1,2
59663,"[1180, 59663, 60054, 60059, 68883, 216141, 216142]",111
193635,"[44470, 66723, 78167, 114098, 153346, 193635, 200451, 231801, 261559, 273948]",210
59659,"[59659, 100264, 216140, 247668]",45
66707,"[66707, 66708, 66709, 66710, 66711, 66721, 132026, 229790, 231802, 273949, 279471, 279472, 279473, 279474]",233
135332,"[135332, 189043, 280494]",17
135334,"[135334, 140427, 189410, 190849, 280522]",43
154898,"[57582, 62828, 154898, 205048, 205049, 205050, 205053, 222899, 288711]",71
212612,"[108851, 212610, 212612, 258220, 262779, 262780, 289225]",107
139082,"[133089, 133094, 133122, 133161, 135259, 135271, 135292, 135489, 138395, 138516, 138579, 138784, 138898, 139082, 139083, 139084, 139085, 139086, 139087, 139088, 139141, 139165, 139166, 139167, 139209, 139270, 139272, 139383, 140533, 140561, 146168, 189272, 190090, 237746, 279717, 279723, 279725, 279871, 280246, 280643, 284099, 288551]",2864
133197,"[133197, 146570, 189075, 192367, 240451, 282752]",37
138713,"[138577, 138713, 138928, 141381]",171
238248,"[238235, 238236, 238237, 238238, 238239, 238240, 238248, 238249, 238250, 238251, 238252, 238254, 238279, 238411, 238488, 280518, 280607, 280608, 280696, 280739]",2495
279572,"[279570, 279572, 279574, 279577, 279579, 280066, 280119, 280122, 280125, 280163, 280165, 280196, 280198, 280263, 280291, 280295]",12533
279573,"[279571, 279573, 279575, 279576, 279578, 279580, 280065, 280113, 280117, 280118, 280123, 280124, 280162, 280164, 280197, 280218, 280261, 280262, 280288, 280289, 280294, 280296, 280610]",7695
131310,"[78, 8073, 8074, 18456, 18478, 18485, 18502, 21406, 21455, 21847, 21875, 21909, 21926, 21932, 21975, 85411, 109365, 130673, 130674, 130796, 130950, 130992, 131298, 131310, 131568, 161650, 171891, 171893, 171905, 201330, 202649, 204845, 204859, 237018, 237019, 250577, 251246, 251405, 251606, 252044, 259736, 263919, 266905, 274659, 278152, 279153, 279170, 279171]",4987
100193,"[173, 175, 1034, 27041, 35605, 35609, 45075, 45076, 48784, 49953, 51288, 54631, 54644, 99221, 100193, 100196, 105779, 105788, 105791, 119586, 119591, 119592, 129230, 152545, 152546, 156089, 199867, 207346, 207347, 219688, 224121, 225023, 226929, 253029, 254922, 268129, 270129]",6402
176,"[176, 1204, 35838, 54628, 154868, 268705]",345
1056,"[1056, 1057, 21440]",17
111656,"[1096, 62319, 111656, 268308]",16
246697,"[1201, 1203, 1973, 35842, 44055, 54639, 54641, 100202, 128971, 200357, 205831, 225274, 225275, 228477, 246378, 246697, 246892]",876
100195,"[1202, 1618, 28391, 39722, 50397, 54643, 100195, 106586, 128985, 268131]",2195
100194,"[2040, 27084, 35837, 37126, 50396, 51577, 54629, 63174, 100194, 106587, 130003, 253339, 268130]",778
